Name	Description	ARN	Region	Type	RequesterPays	Documentation	Contact	ManagedBy	UpdateFrequency	License	Tags
Digital Earth Africa GeoMAD - Sentinel-2 GeoMAD (Annual) data	Sentinel-2 GeoMAD (Annual) data	arn:aws:s3:::deafrica-services/gm_s2_annual	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/GeoMAD_specs.html	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	GeoMADs for Sentinel-2 and Landsat are updated as their respective time periods 	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'agriculture', 'earth observation', 'satellite imagery', 'geospatial', 'natural resource', 'sustainability', 'disaster response', 'deafrica', 'stac', 'cog']
Digital Earth Africa GeoMAD - Sentinel-2 GeoMAD (Semi-Annual) data	Sentinel-2 GeoMAD (Semi-Annual) data	arn:aws:s3:::deafrica-services/gm_s2_semiannual	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/GeoMAD_specs.html	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	GeoMADs for Sentinel-2 and Landsat are updated as their respective time periods 	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'agriculture', 'earth observation', 'satellite imagery', 'geospatial', 'natural resource', 'sustainability', 'disaster response', 'deafrica', 'stac', 'cog']
Digital Earth Africa Global Mangrove Watch - Global Mangrove Watch	Global Mangrove Watch	arn:aws:s3:::deafrica-input-datasets/gmw	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/Global_Mangrove_Watch_s	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	To be defined.	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'natural resource', 'earth observation', 'coastal', 'geospatial', 'satellite imagery', 'sustainability', 'deafrica', 'stac', 'cog', 'land cover']
Digital Earth Africa Landsat Collection 2 Level 2 - Landsat scenes and metadata	Landsat scenes and metadata	arn:aws:s3:::deafrica-landsat	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/Landsat_C2_SR_specs.htm	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	New Landsat data are added regularly, usually within a few hours of them being a	There are no restrictions on Landsat data downloaded from the USGS; it can be us	['aws-pds', 'agriculture', 'earth observation', 'satellite imagery', 'geospatial', 'natural resource', 'sustainability', 'disaster response', 'deafrica', 'stac', 'cog']
Digital Earth Africa Sentinel-1 Radiometrically Terrain Corrected - Sentinel-1 tiles and metadata	Sentinel-1 tiles and metadata	arn:aws:s3:::deafrica-sentinel-1	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/Sentinel-1_specs.html	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	New Sentinel-1 data are added regularly.	Access to Sentinel data is free, full and open for the broad Regional, National,	['aws-pds', 'agriculture', 'earth observation', 'satellite imagery', 'geospatial', 'natural resource', 'sustainability', 'disaster response', 'deafrica', 'stac', 'cog', 'synthetic aperture radar']
Digital Earth Africa Sentinel-2 Level-2A - Sentinel-2 scenes and metadata	Sentinel-2 scenes and metadata	arn:aws:s3:::deafrica-sentinel-2	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/Sentinel-2_Level-2A_spe	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	New Sentinel-2 scenes are added regularly, usually within few hours after they a	Access to Sentinel data is free, full and open for the broad Regional, National,	['aws-pds', 'agriculture', 'earth observation', 'satellite imagery', 'geospatial', 'natural resource', 'sustainability', 'disaster response', 'deafrica', 'stac', 'cog']
Digital Earth Africa Water Observations from Space - Water Observations from Space All-Time Summary data	Water Observations from Space All-Time Summary data	arn:aws:s3:::deafrica-services/wofs_ls_summary_alltime	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/Landsat_WOfS_specs.html	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	New scene-level data is added as new Landsat data is available. New summaries ar	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'agriculture', 'disaster response', 'earth observation', 'geospatial', 'natural resource', 'satellite imagery', 'sustainability', 'water', 'deafrica', 'stac', 'cog']
Digital Earth Africa Water Observations from Space - Water Observations from Space Annual Summary data	Water Observations from Space Annual Summary data	arn:aws:s3:::deafrica-services/wofs_ls_summary_annual	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/Landsat_WOfS_specs.html	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	New scene-level data is added as new Landsat data is available. New summaries ar	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'agriculture', 'disaster response', 'earth observation', 'geospatial', 'natural resource', 'satellite imagery', 'sustainability', 'water', 'deafrica', 'stac', 'cog']
Digital Earth Africa Water Observations from Space - Water Observations from Space data	Water Observations from Space data	arn:aws:s3:::deafrica-services/wofs_ls	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/Landsat_WOfS_specs.html	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	New scene-level data is added as new Landsat data is available. New summaries ar	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'agriculture', 'disaster response', 'earth observation', 'geospatial', 'natural resource', 'satellite imagery', 'sustainability', 'water', 'deafrica', 'stac', 'cog']
District of Columbia - Classified Point Cloud LiDAR - LAS, XML	LAS, XML	arn:aws:s3:::dc-lidar-2018	us-east-1	S3 Bucket		[2015 data](https://github.com/awslabs/open-data-docs/tree/main/docs/dc-lidar-20	dcgis@dc.gov	[Washington DC government](https://dc.gov/)	The most recent data is from 2018 and 2015 data is available as well. A new data	See Washington, DC [Terms of Use](https://dc.gov/page/terms-and-conditions-use)	['aws-pds', 'geospatial', 'cities', 'us-dc', 'disaster response']
District of Columbia - Classified Point Cloud LiDAR - LAS, XML, SHP	LAS, XML, SHP	arn:aws:s3:::dc-lidar-2015	us-east-1	S3 Bucket		[2015 data](https://github.com/awslabs/open-data-docs/tree/main/docs/dc-lidar-20	dcgis@dc.gov	[Washington DC government](https://dc.gov/)	The most recent data is from 2018 and 2015 data is available as well. A new data	See Washington, DC [Terms of Use](https://dc.gov/page/terms-and-conditions-use)	['aws-pds', 'geospatial', 'cities', 'us-dc', 'disaster response']
Downscaled Climate Data for Alaska	Dynamically downscaled climate data for Alaska and surrounding regions.	arn:aws:s3:::wrf-ak-ar5	us-east-1	S3 Bucket		http://ckan.snap.uaf.edu/dataset/historical-and-projected-dynamically-downscaled	http://directory.iarc.uaf.edu/peter-bieniek	Scenarios Network for Alaska + Arctic Planning at the International Arctic Resea	as needed	https://creativecommons.org/licenses/by/4.0/	['aws-pds', 'agriculture', 'climate', 'coastal', 'earth observation', 'environmental', 'weather', 'aws-pds', 'sustainability']
EPA Risk-Screening Environmental Indicators	RSEI Microdata	arn:aws:s3:::epa-rsei-pds	us-east-1	S3 Bucket		https://github.com/awslabs/open-data-docs/tree/main/docs/epa-rsei-pds	https://www.epa.gov/rsei/forms/contact-us-about-rsei-model	[Environmental Protection Agency](https://www.epa.gov/rsei/)	Updated infrequently	US Government work	['aws-pds', 'environmental', 'sustainability']
ESA WorldCover	ESA WorldCover in a S3 bucket	arn:aws:s3:::esa-worldcover	eu-central-1	S3 Bucket	False	Documentation is available [here](https://esa-worldcover.org/en/data-access).	https://esa-worldcover.org/en/contact	[VITO](https://vito.be)	Yearly.	CC-BY 4.0	['aws-pds', 'earth observation', 'agriculture', 'satellite imagery', 'geospatial', 'natural resource', 'sustainability', 'cog', 'disaster response', 'mapping', 'synthetic aperture radar', 'land cover', 'land use', 'machine learning', 'stac']
Earth Observation Data Cubes for Brazil - Earth Observation Data Cubes for Brazil - CBERS 4	Earth Observation Data Cubes for Brazil - CBERS 4	arn:aws:s3:::bdc-cbers	us-west-2	S3 Bucket	False	http://brazildatacube.org/en/home-page-2/	brazildatacube@inpe.br	[INPE - Brazil Data Cube](http://brazildatacube.org/)	New EO data cubes are added as soon as there are produced by the Brazil Data Cub	The EO data cubes are produced from free and open images of CBERS-4, Landsat-8 a	['earth observation', 'satellite imagery', 'geoscience', 'geospatial', 'image processing', 'open source software', 'cog', 'stac', 'aws-pds']
Earth Observation Data Cubes for Brazil - Earth Observation Data Cubes for Brazil - Sentinel 2A/2B	Earth Observation Data Cubes for Brazil - Sentinel 2A/2B	arn:aws:s3:::bdc-sentinel-2	us-west-2	S3 Bucket	False	http://brazildatacube.org/en/home-page-2/	brazildatacube@inpe.br	[INPE - Brazil Data Cube](http://brazildatacube.org/)	New EO data cubes are added as soon as there are produced by the Brazil Data Cub	The EO data cubes are produced from free and open images of CBERS-4, Landsat-8 a	['earth observation', 'satellite imagery', 'geoscience', 'geospatial', 'image processing', 'open source software', 'cog', 'stac', 'aws-pds']
Earth Radio Occultation	Three types of data exist in a directory hierarchy that includes the contributin	arn:aws:s3:::gnss-ro-data	us-east-1	S3 Bucket		http://github.com/gnss-ro/aws-opendata	Stephen Leroy (sleroy@aer.com)	Atmospheric and Environmental Research, Inc.	The dataset is updated monthly for JPL and CDAAC contributions only.	A Creative Commons open-use licence (https://www.ucar.edu/terms-of-use/data) app	['aws-pds', 'atmosphere', 'climate', 'earth observation', 'global', 'signal processing', 'weather']
Finnish Meteorological Institute Weather Radar Data - Radar data as GeoTIFF	Radar data as GeoTIFF	arn:aws:s3:::fmi-opendata-radar-geotiff	eu-west-1	S3 Bucket		http://en.ilmatieteenlaitos.fi/radar-data-on-aws-s3	avoin-data@fmi.fi	[Finnish Meteorological Institute](https://www.ilmatieteenlaitos.fi/)	5 minutes	Creative Commons Attribution 4.0 International (CC BY 4.0)	['aws-pds', 'agriculture', 'earth observation', 'weather', 'meteorological', 'sustainability']
Finnish Meteorological Institute Weather Radar Data - Volume data as HDF5	Volume data as HDF5	arn:aws:s3:::fmi-opendata-radar-volume-hdf5	eu-west-1	S3 Bucket		http://en.ilmatieteenlaitos.fi/radar-data-on-aws-s3	avoin-data@fmi.fi	[Finnish Meteorological Institute](https://www.ilmatieteenlaitos.fi/)	5 minutes	Creative Commons Attribution 4.0 International (CC BY 4.0)	['aws-pds', 'agriculture', 'earth observation', 'weather', 'meteorological', 'sustainability']
Global Biodiversity Information Facility (GBIF) Species Occurrences - GBIF species occurrence data in Parquet format (af-south-1 region).	GBIF species occurrence data in Parquet format (af-south-1 region).	arn:aws:s3:::gbif-open-data-af-south-1	af-south-1	S3 Bucket		Documentation can be found [here](https://github.com/gbif/occurrence/blob/master	helpdesk@gbif.org	The Global Biodiversity Information Facility ([GBIF](https://www.gbif.org))	Snapshots of GBIF are taken on a monthly basis	[CC-BY-NC](https://creativecommons.org/licenses/by-nc/4.0/) under the GBIF [term	['aws-pds', 'earth observation', 'biodiversity', 'bioinformatics', 'conservation', 'life sciences']
Global Biodiversity Information Facility (GBIF) Species Occurrences - GBIF species occurrence data in Parquet format (ap-southeast-2 region).	GBIF species occurrence data in Parquet format (ap-southeast-2 region).	arn:aws:s3:::gbif-open-data-ap-southeast-2	ap-southeast-2	S3 Bucket		Documentation can be found [here](https://github.com/gbif/occurrence/blob/master	helpdesk@gbif.org	The Global Biodiversity Information Facility ([GBIF](https://www.gbif.org))	Snapshots of GBIF are taken on a monthly basis	[CC-BY-NC](https://creativecommons.org/licenses/by-nc/4.0/) under the GBIF [term	['aws-pds', 'earth observation', 'biodiversity', 'bioinformatics', 'conservation', 'life sciences']
Global Biodiversity Information Facility (GBIF) Species Occurrences - GBIF species occurrence data in Parquet format (eu-central-1 region).	GBIF species occurrence data in Parquet format (eu-central-1 region).	arn:aws:s3:::gbif-open-data-eu-central-1	eu-central-1	S3 Bucket		Documentation can be found [here](https://github.com/gbif/occurrence/blob/master	helpdesk@gbif.org	The Global Biodiversity Information Facility ([GBIF](https://www.gbif.org))	Snapshots of GBIF are taken on a monthly basis	[CC-BY-NC](https://creativecommons.org/licenses/by-nc/4.0/) under the GBIF [term	['aws-pds', 'earth observation', 'biodiversity', 'bioinformatics', 'conservation', 'life sciences']
Global Biodiversity Information Facility (GBIF) Species Occurrences - GBIF species occurrence data in Parquet format (sa-east-1 region).	GBIF species occurrence data in Parquet format (sa-east-1 region).	arn:aws:s3:::gbif-open-data-sa-east-1	sa-east-1	S3 Bucket		Documentation can be found [here](https://github.com/gbif/occurrence/blob/master	helpdesk@gbif.org	The Global Biodiversity Information Facility ([GBIF](https://www.gbif.org))	Snapshots of GBIF are taken on a monthly basis	[CC-BY-NC](https://creativecommons.org/licenses/by-nc/4.0/) under the GBIF [term	['aws-pds', 'earth observation', 'biodiversity', 'bioinformatics', 'conservation', 'life sciences']
Global Biodiversity Information Facility (GBIF) Species Occurrences - GBIF species occurrence data in Parquet format (us-east-1 region).	GBIF species occurrence data in Parquet format (us-east-1 region).	arn:aws:s3:::gbif-open-data-us-east-1	us-east-1	S3 Bucket		Documentation can be found [here](https://github.com/gbif/occurrence/blob/master	helpdesk@gbif.org	The Global Biodiversity Information Facility ([GBIF](https://www.gbif.org))	Snapshots of GBIF are taken on a monthly basis	[CC-BY-NC](https://creativecommons.org/licenses/by-nc/4.0/) under the GBIF [term	['aws-pds', 'earth observation', 'biodiversity', 'bioinformatics', 'conservation', 'life sciences']
HIRLAM Weather Model - Pressure GRIB files	Pressure GRIB files	arn:aws:s3:::fmi-opendata-rcrhirlam-pressure-grib	eu-west-1	S3 Bucket		http://en.ilmatieteenlaitos.fi/open-data-on-aws-s3	avoin-data@fmi.fi	[Finnish Meteorological Institute](https://www.ilmatieteenlaitos.fi/)	The data is updated four times a day with analysis hours 00, 06, 12 and 18. Corr	Creative Commons Attribution 4.0 International (CC BY 4.0)	['aws-pds', 'agriculture', 'earth observation', 'climate', 'weather', 'meteorological', 'sustainability']
HIRLAM Weather Model - Surface GRIB files	Surface GRIB files	arn:aws:s3:::fmi-opendata-rcrhirlam-surface-grib	eu-west-1	S3 Bucket		http://en.ilmatieteenlaitos.fi/open-data-on-aws-s3	avoin-data@fmi.fi	[Finnish Meteorological Institute](https://www.ilmatieteenlaitos.fi/)	The data is updated four times a day with analysis hours 00, 06, 12 and 18. Corr	Creative Commons Attribution 4.0 International (CC BY 4.0)	['aws-pds', 'agriculture', 'earth observation', 'climate', 'weather', 'meteorological', 'sustainability']
High Resolution Downscaled Climate Data for Southeast Alaska	High-res dynamically downscaled climate data for Southeast Alaska.	arn:aws:s3:::wrf-se-ak-ar5	us-west-2	S3 Bucket		https://www.sciencebase.gov/catalog/item/5f93658882ce720ee2d598a7	http://directory.iarc.uaf.edu/richard-lader	Scenarios Network for Alaska + Arctic Planning at the International Arctic Resea	as needed	https://creativecommons.org/licenses/by/4.0/	['aws-pds', 'agriculture', 'climate', 'coastal', 'earth observation', 'environmental', 'weather', 'aws-pds', 'sustainability']
JMA Himawari-8/9 - Himawari-8 Imagery	Himawari-8 Imagery	arn:aws:s3:::noaa-himawari8	us-east-1	S3 Bucket		https://www.data.jma.go.jp/mscweb/en/himawari89/cloud_service/cloud_service.html	For any questions regarding data delivery or any general questions regarding the	[NOAA](http://www.noaa.gov/)	10 minutes for Full Disk, 2.5 minutes for Regions 1, 2, and 3, and .5 minutes fo	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'geospatial', 'weather', 'earth observation', 'meteorological', 'sustainability', 'disaster response', 'satellite imagery']
JMA Himawari-8/9 - Himawari-9 Imagery	Himawari-9 Imagery	arn:aws:s3:::noaa-himawari9	us-east-1	S3 Bucket		https://www.data.jma.go.jp/mscweb/en/himawari89/cloud_service/cloud_service.html	For any questions regarding data delivery or any general questions regarding the	[NOAA](http://www.noaa.gov/)	10 minutes for Full Disk, 2.5 minutes for Regions 1, 2, and 3, and .5 minutes fo	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'geospatial', 'weather', 'earth observation', 'meteorological', 'sustainability', 'disaster response', 'satellite imagery']
Landsat 8 - Scenes and metadata	Scenes and metadata	arn:aws:s3:::landsat-pds	us-west-2	S3 Bucket		https://github.com/awslabs/open-data-docs/tree/main/docs/landsat-pds	https://lists.osgeo.org/mailman/listinfo/landsat-pds	[Planet](https://www.planet.com/)	New Landsat 8 scenes are added regularly as soon as they are available.	There are no restrictions on the use of data received from the U.S. Geological S	['aws-pds', 'agriculture', 'earth observation', 'satellite imagery', 'geospatial', 'natural resource', 'sustainability', 'disaster response']
Low Altitude Disaster Imagery (LADI) Dataset	LADI dataset: images and labels	arn:aws:s3:::ladi	us-west-2	S3 Bucket		https://github.com/LADI-Dataset/ladi-overview	ladi-dataset-admin@mit.edu	[MIT Beaver Works](https://beaverworks.ll.mit.edu/)	Periodically	Creative Commons Attribution 4.0 International (CC BY 4.0)	['aws-pds', 'aerial imagery', 'coastal', 'computer vision', 'disaster response', 'earth observation', 'earthquakes', 'geospatial', 'imaging', 'image processing', 'infrastructure', 'land', 'machine learning', 'mapping', 'natural resource', 'seismology', 'transportation', 'urban', 'water']
Maxar Open Data Program	Imagery and metadata	arn:aws:s3:::maxar-opendata	us-east-1	S3 Bucket		https://www.maxar.com/open-data	https://www.maxar.com/open-data	[Maxar](https://www.maxar.com/)	New data is released in response to activations. Older data may be migrated to t	Creative Commons Attribution Non Commercial 4.0	['earth observation', 'disaster response', 'geospatial', 'satellite imagery', 'sustainability', 'cog', 'stac']
NASA / USGS Europa Controlled Observation Mosaics	Scenes and metadata	arn:aws:s3:::astrogeo-ard/jupiter/europa/galileo_voyager/usgs_controlled_mosaics/	us-west-2	S3 Bucket		https://stac.astrogeology.usgs.gov/docs/data/jupiter/europa/galileo_sequence_mos	https://answers.usgs.gov/	[NASA](https://www.nasa.gov)	No future updates planned.	[CC0 1.0](https://creativecommons.org/publicdomain/zero/1.0/)	['planetary', 'satellite imagery', 'stac', 'cog']
NASA / USGS Europa Controlled Observations	Scenes and metadata	arn:aws:s3:::astrogeo-ard/jupiter/europa/galileo_voyager/usgs_controlled_observations/	us-west-2	S3 Bucket		https://stac.astrogeology.usgs.gov/docs/data/jupiter/europa/galileo_individual_i	https://answers.usgs.gov/	[NASA](https://www.nasa.gov)	No future updates planned.	[CC0 1.0](https://creativecommons.org/publicdomain/zero/1.0/)	['planetary', 'satellite imagery', 'stac', 'cog']
NASA Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) - The NEX-GDDP-CMIP6 archive. Files are in NetCDF format with the [CF-1.7](https:/	The NEX-GDDP-CMIP6 archive. Files are in NetCDF format with the [CF-1.7](https:/	arn:aws:s3:::nex-gddp-cmip6	us-west-2	S3 Bucket	False	https://doi.org/10.7917/OFSG3345	support@nccs.nasa.gov	[NASA](https://www.nasa.gov)	No future updates planned.	As noted in the metadata of each file, the NEX-GDDP-CMIP6 archive wasinitially m	['CMIP6', 'climate', 'climate model', 'model', 'global', 'environmental', 'earth observation', 'climate projections', 'netcdf', 'near-surface relative humidity', 'near-surface specific humidity', 'precipitation', 'air temperature', 'NASA Center for Climate Simulation (NCCS)', 'cog']
NASA Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) - The NEX-GDDP-CMIP6-COG archive. Files are in [Cloud-Optimized GeoTiff](https://w	The NEX-GDDP-CMIP6-COG archive. Files are in [Cloud-Optimized GeoTiff](https://w	arn:aws:s3:::nex-gddp-cmip6-cog	us-west-2	S3 Bucket	False	https://doi.org/10.7917/OFSG3345	support@nccs.nasa.gov	[NASA](https://www.nasa.gov)	No future updates planned.	As noted in the metadata of each file, the NEX-GDDP-CMIP6 archive wasinitially m	['CMIP6', 'climate', 'climate model', 'model', 'global', 'environmental', 'earth observation', 'climate projections', 'netcdf', 'near-surface relative humidity', 'near-surface specific humidity', 'precipitation', 'air temperature', 'NASA Center for Climate Simulation (NCCS)', 'cog']
NASA Prediction of Worldwide Energy Resources (POWER) - POWER's NetCDF Datastore	POWER's NetCDF Datastore	arn:aws:s3:::power-datastore	us-west-2	S3 Bucket	False	https://power.larc.nasa.gov/docs/	larc-power-project@mail.nasa.gov	NASA	Near Real Time (NRT); as soon as source data becomes available from our source d	There are no restrictions on the use, access, and/or download of data from the N	['agriculture', 'air quality', 'analytics', 'archives', 'atmosphere', 'climate', 'climate model', 'data assimilation', 'deep learning', 'earth observation', 'energy', 'environmental', 'forecast', 'geoscience', 'geospatial', 'global', 'netcdf', 'history', 'imaging', 'industry', 'machine learning', 'machine translation', 'metadata', 'meteorological', 'model', 'opendap', 'radiation', 'satellite imagery', 'solar', 'statistics', 'sustainability', 'time series forecasting', 'water', 'weather', 'zarr', 'aws-pds']
NASA Prediction of Worldwide Energy Resources (POWER) - POWER's Zarr Analysis Ready Data (ARD) Datasets	POWER's Zarr Analysis Ready Data (ARD) Datasets	arn:aws:s3:::power-analysis-ready-datastore	us-west-2	S3 Bucket	False	https://power.larc.nasa.gov/docs/	larc-power-project@mail.nasa.gov	NASA	Near Real Time (NRT); as soon as source data becomes available from our source d	There are no restrictions on the use, access, and/or download of data from the N	['agriculture', 'air quality', 'analytics', 'archives', 'atmosphere', 'climate', 'climate model', 'data assimilation', 'deep learning', 'earth observation', 'energy', 'environmental', 'forecast', 'geoscience', 'geospatial', 'global', 'netcdf', 'history', 'imaging', 'industry', 'machine learning', 'machine translation', 'metadata', 'meteorological', 'model', 'opendap', 'radiation', 'satellite imagery', 'solar', 'statistics', 'sustainability', 'time series forecasting', 'water', 'weather', 'zarr', 'aws-pds']
NEXRAD on AWS - NEXRAD Level II archive data	NEXRAD Level II archive data	arn:aws:s3:::noaa-nexrad-level2	us-east-1	S3 Bucket		https://github.com/awslabs/open-data-docs/tree/main/docs/noaa/noaa-nexrad	support-level2@unidata.ucar.edu	[Unidata](https://www.unidata.ucar.edu/)	New Level II data is added as soon as it is available.	There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'earth observation', 'natural resource', 'weather', 'meteorological', 'sustainability']
NEXRAD on AWS - NEXRAD Level III real-time select data	NEXRAD Level III real-time select data	arn:aws:s3:::unidata-nexrad-level3	us-east-1	S3 Bucket		https://github.com/awslabs/open-data-docs/tree/main/docs/noaa/noaa-nexrad	support-level2@unidata.ucar.edu	[Unidata](https://www.unidata.ucar.edu/)	New Level II data is added as soon as it is available.	There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'earth observation', 'natural resource', 'weather', 'meteorological', 'sustainability']
NOAA Atmospheric Climate Data Records - Aerosol Optical Thickness	Aerosol Optical Thickness	arn:aws:s3:::noaa-cdr-aerosol-optical-thickness-pds	us-east-1	S3 Bucket		https://www.ncdc.noaa.gov/cdr	For questions regarding the specific CDR data holdings, please contact NCEI.SAT.	[NOAA](http://www.noaa.gov/)	Climate Data Records are updated independently. For update frequency for a speci	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'climate', 'meteorological', 'sustainability', 'weather']
NOAA Atmospheric Climate Data Records - CMORPH Precip	CMORPH Precip	arn:aws:s3:::noaa-cdr-precip-cmorph-pds	us-east-1	S3 Bucket		https://www.ncdc.noaa.gov/cdr	For questions regarding the specific CDR data holdings, please contact NCEI.SAT.	[NOAA](http://www.noaa.gov/)	Climate Data Records are updated independently. For update frequency for a speci	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'climate', 'meteorological', 'sustainability', 'weather']
NOAA Atmospheric Climate Data Records - Cloud Properties ISCCP	Cloud Properties ISCCP	arn:aws:s3:::noaa-cdr-cloud-properties-isccp-pds	us-east-1	S3 Bucket		https://www.ncdc.noaa.gov/cdr	For questions regarding the specific CDR data holdings, please contact NCEI.SAT.	[NOAA](http://www.noaa.gov/)	Climate Data Records are updated independently. For update frequency for a speci	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'climate', 'meteorological', 'sustainability', 'weather']
NOAA Atmospheric Climate Data Records - Cloud Properties Polar Orbiter	Cloud Properties Polar Orbiter	arn:aws:s3:::noaa-cdr-cloud-properties-polar-orbiter-nasa-pds	us-east-1	S3 Bucket		https://www.ncdc.noaa.gov/cdr	For questions regarding the specific CDR data holdings, please contact NCEI.SAT.	[NOAA](http://www.noaa.gov/)	Climate Data Records are updated independently. For update frequency for a speci	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'climate', 'meteorological', 'sustainability', 'weather']
NOAA Atmospheric Climate Data Records - GPCP Precip Daily	GPCP Precip Daily	arn:aws:s3:::noaa-cdr-precip-gpcp-daily-pds	us-east-1	S3 Bucket		https://www.ncdc.noaa.gov/cdr	For questions regarding the specific CDR data holdings, please contact NCEI.SAT.	[NOAA](http://www.noaa.gov/)	Climate Data Records are updated independently. For update frequency for a speci	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'climate', 'meteorological', 'sustainability', 'weather']
NOAA Atmospheric Climate Data Records - GPCP Precip Monthly	GPCP Precip Monthly	arn:aws:s3:::noaa-cdr-precip-gpcp-monthly-pds	us-east-1	S3 Bucket		https://www.ncdc.noaa.gov/cdr	For questions regarding the specific CDR data holdings, please contact NCEI.SAT.	[NOAA](http://www.noaa.gov/)	Climate Data Records are updated independently. For update frequency for a speci	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'climate', 'meteorological', 'sustainability', 'weather']
NOAA Atmospheric Climate Data Records - Hydrological Properties	Hydrological Properties	arn:aws:s3:::noaa-cdr-hydrological-properties-pds	us-east-1	S3 Bucket		https://www.ncdc.noaa.gov/cdr	For questions regarding the specific CDR data holdings, please contact NCEI.SAT.	[NOAA](http://www.noaa.gov/)	Climate Data Records are updated independently. For update frequency for a speci	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'climate', 'meteorological', 'sustainability', 'weather']
NOAA Atmospheric Climate Data Records - NEXRAD Precip	NEXRAD Precip	arn:aws:s3:::noaa-cdr-precip-nexrad-qpe-pds	us-east-1	S3 Bucket		https://www.ncdc.noaa.gov/cdr	For questions regarding the specific CDR data holdings, please contact NCEI.SAT.	[NOAA](http://www.noaa.gov/)	Climate Data Records are updated independently. For update frequency for a speci	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'climate', 'meteorological', 'sustainability', 'weather']
NOAA Atmospheric Climate Data Records - Ocean Heat Content	Ocean Heat Content	arn:aws:s3:::noaa-cdr-ocean-heat-content-pds	us-east-1	S3 Bucket		https://www.ncdc.noaa.gov/cdr	For questions regarding the specific CDR data holdings, please contact NCEI.SAT.	[NOAA](http://www.noaa.gov/)	Climate Data Records are updated independently. For update frequency for a speci	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'climate', 'meteorological', 'sustainability', 'weather']
NOAA Atmospheric Climate Data Records - Ocean Heatflux	Ocean Heatflux	arn:aws:s3:::noaa-cdr-ocean-heatflux-pds	us-east-1	S3 Bucket		https://www.ncdc.noaa.gov/cdr	For questions regarding the specific CDR data holdings, please contact NCEI.SAT.	[NOAA](http://www.noaa.gov/)	Climate Data Records are updated independently. For update frequency for a speci	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'agriculture', 'climate', 'meteorological', 'sustainability', 'weather']
